id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,color_r,color_g,color_b,opacity
0,0.658303,-1.397730,-0.075779,0.025762,0.025762,0.025762,1.000000,0.000000,0.000000,0.000000,0.649570,0.649570,0.633884,0.095589
0,-1.608440,-1.381910,0.011145,0.011560,0.011560,0.011560,1.000000,0.000000,0.000000,0.000000,0.665256,0.641727,0.602511,0.095589
0,-1.375690,-1.348110,-0.112462,0.013156,0.013156,0.013156,1.000000,0.000000,0.000000,0.000000,0.900550,0.829962,0.759374,0.095589
0,-1.375230,-1.347780,-0.113830,0.013092,0.013092,0.013092,1.000000,0.000000,0.000000,0.000000,0.900550,0.829962,0.759374,0.095589
0,-1.347290,-1.348000,-0.116250,0.014284,0.014284,0.014284,1.000000,0.000000,0.000000,0.000000,0.869178,0.767217,0.720158,0.095589
0,-1.138300,-1.363030,-0.120602,0.010702,0.010702,0.010702,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-1.050940,-1.365780,-0.122113,0.013887,0.013887,0.013887,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.947609,0.095589
0,-1.041690,-1.367770,-0.116327,0.016269,0.016269,0.016269,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.877021,0.095589
0,-0.586897,-1.356350,-0.151754,0.006944,0.006944,0.006944,1.000000,0.000000,0.000000,0.000000,0.986825,0.939766,0.845648,0.095589
0,-0.586972,-1.356300,-0.150857,0.006617,0.006617,0.006617,1.000000,0.000000,0.000000,0.000000,0.986825,0.939766,0.845648,0.095589
0,-0.582045,-1.362400,-0.144822,0.006892,0.006892,0.006892,1.000000,0.000000,0.000000,0.000000,0.751531,0.688786,0.665256,0.095589
0,-0.582262,-1.362340,-0.145161,0.006647,0.006647,0.006647,1.000000,0.000000,0.000000,0.000000,0.751531,0.688786,0.665256,0.095589
0,-0.561645,-1.346440,-0.150490,0.023045,0.023045,0.023045,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.884864,0.095589
0,-0.529504,-1.361930,-0.145258,0.019863,0.019863,0.019863,1.000000,0.000000,0.000000,0.000000,1.000000,0.963295,0.853491,0.095589
0,-0.456412,-1.355170,-0.153150,0.008166,0.008166,0.008166,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.436549,-1.355200,-0.154140,0.009240,0.009240,0.009240,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.470642,-1.316320,-0.160543,0.005352,0.005352,0.005352,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.407211,-1.355330,-0.156257,0.013381,0.013381,0.013381,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.337647,-1.313400,-0.165819,0.006399,0.006399,0.006399,1.000000,0.000000,0.000000,0.000000,0.845648,0.743688,0.712315,0.095589
0,-0.337647,-1.313400,-0.165819,0.006399,0.006399,0.006399,1.000000,0.000000,0.000000,0.000000,0.845648,0.743688,0.712315,0.095589
0,-0.292742,-1.335770,-0.166713,0.018475,0.018475,0.018475,1.000000,0.000000,0.000000,0.000000,0.939766,0.790746,0.680942,0.095589
0,-0.256662,-1.305620,-0.178589,0.013697,0.013697,0.013697,1.000000,0.000000,0.000000,0.000000,0.884864,0.845648,0.814276,0.095589
0,-0.146421,-1.366360,-0.163758,0.006629,0.006629,0.006629,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.986825,0.095589
0,-0.120088,-1.367100,-0.162848,0.005332,0.005332,0.005332,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.978982,0.095589
0,-0.118734,-1.322280,-0.177054,0.013946,0.013946,0.013946,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.027276,-1.392450,-0.047734,0.023644,0.023644,0.023644,1.000000,0.000000,0.000000,0.000000,0.414276,0.367217,0.343687,0.095589
0,0.331371,-1.333520,-0.039853,0.017350,0.017350,0.017350,1.000000,0.000000,0.000000,0.000000,0.947609,0.869178,0.775060,0.095589
0,0.362566,-1.334010,-0.041995,0.013871,0.013871,0.013871,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.884864,0.095589
0,0.459230,-1.336650,-0.043761,0.011921,0.011921,0.011921,1.000000,0.000000,0.000000,0.000000,0.955452,0.924080,0.853491,0.095589
0,0.459230,-1.336650,-0.043761,0.011921,0.011921,0.011921,1.000000,0.000000,0.000000,0.000000,0.955452,0.924080,0.853491,0.095589
0,0.620209,-1.337330,-0.051322,0.013818,0.013818,0.013818,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.924080,0.095589
0,-1.744120,-1.308760,0.037886,0.010771,0.010771,0.010771,1.000000,0.000000,0.000000,0.000000,0.845648,0.829962,0.775060,0.095589
0,-1.719360,-1.309610,0.039245,0.018205,0.018205,0.018205,1.000000,0.000000,0.000000,0.000000,0.743688,0.735844,0.649570,0.095589
0,-1.695180,-1.316130,0.038415,0.013154,0.013154,0.013154,1.000000,0.000000,0.000000,0.000000,0.916237,0.931923,0.853491,0.095589
0,-1.238700,-1.302980,-0.120261,0.006583,0.006583,0.006583,1.000000,0.000000,0.000000,0.000000,0.649570,0.578982,0.563295,0.095589
0,-1.071070,-1.261250,-0.156319,0.021133,0.021133,0.021133,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.978060,-1.248810,-0.161159,0.003843,0.003843,0.003843,1.000000,0.000000,0.000000,0.000000,1.000000,0.963295,0.884864,0.095589
0,-0.945330,-1.302330,-0.145120,0.021681,0.021681,0.021681,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.696950,-1.272080,-0.167775,0.014311,0.014311,0.014311,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.692343,-1.253100,-0.174187,0.020050,0.020050,0.020050,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.637020,-1.247770,-0.177316,0.016169,0.016169,0.016169,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.571632,-1.303640,-0.157022,0.018812,0.018812,0.018812,1.000000,0.000000,0.000000,0.000000,1.000000,0.884864,0.790746,0.095589
0,-0.528494,-1.290340,-0.174304,0.020882,0.020882,0.020882,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.525444,-1.262730,-0.181658,0.012097,0.012097,0.012097,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.313908,-1.262890,-0.190582,0.006254,0.006254,0.006254,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.947609,0.095589
0,-0.244643,-1.279820,-0.186803,0.011490,0.011490,0.011490,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.916237,0.095589
0,-0.133337,-1.275520,-0.192489,0.013059,0.013059,0.013059,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.133733,-1.270890,-0.192811,0.012493,0.012493,0.012493,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.131653,-1.264610,-0.194955,0.011591,0.011591,0.011591,1.000000,0.000000,0.000000,0.000000,0.963295,0.735844,0.743688,0.095589
0,-0.012154,-1.272110,-0.047146,0.015669,0.015669,0.015669,1.000000,0.000000,0.000000,0.000000,0.531923,0.437805,0.429962,0.095589
0,0.079092,-1.324120,-0.033473,0.010485,0.010485,0.010485,1.000000,0.000000,0.000000,0.000000,0.720158,0.641727,0.641727,0.095589
0,0.093144,-1.324110,-0.033992,0.013193,0.013193,0.013193,1.000000,0.000000,0.000000,0.000000,0.641727,0.633884,0.633884,0.095589
0,0.122530,-1.317690,-0.036467,0.007234,0.007234,0.007234,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.171507,-1.325150,-0.034898,0.015072,0.015072,0.015072,1.000000,0.000000,0.000000,0.000000,0.586825,0.445648,0.492707,0.095589
0,0.211923,-1.325550,-0.035685,0.014061,0.014061,0.014061,1.000000,0.000000,0.000000,0.000000,0.618197,0.539766,0.547609,0.095589
0,0.200127,-1.273770,-0.042170,0.009157,0.009157,0.009157,1.000000,0.000000,0.000000,0.000000,0.398589,0.375060,0.359374,0.095589
0,0.200519,-1.273950,-0.040931,0.009345,0.009345,0.009345,1.000000,0.000000,0.000000,0.000000,0.398589,0.375060,0.359374,0.095589
0,0.263055,-1.326060,-0.037793,0.018539,0.018539,0.018539,1.000000,0.000000,0.000000,0.000000,1.000000,0.994668,0.924080,0.095589
0,0.433310,-1.327050,-0.046832,0.015540,0.015540,0.015540,1.000000,0.000000,0.000000,0.000000,0.916237,0.884864,0.853491,0.095589
0,0.474111,-1.275350,-0.052021,0.006586,0.006586,0.006586,1.000000,0.000000,0.000000,0.000000,0.845648,0.782903,0.767217,0.095589
0,0.474111,-1.275350,-0.052021,0.006586,0.006586,0.006586,1.000000,0.000000,0.000000,0.000000,0.845648,0.782903,0.767217,0.095589
0,0.527432,-1.270890,-0.067396,0.007645,0.007645,0.007645,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.551871,-1.274690,-0.067724,0.010431,0.010431,0.010431,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.624496,-1.304770,-0.060015,0.012150,0.012150,0.012150,1.000000,0.000000,0.000000,0.000000,0.994668,0.908393,0.877021,0.095589
0,0.624707,-1.286800,-0.067606,0.010504,0.010504,0.010504,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.646238,-1.276520,-0.060042,0.004740,0.004740,0.004740,1.000000,0.000000,0.000000,0.000000,0.806433,0.806433,0.775060,0.095589
0,0.646291,-1.276520,-0.059905,0.004784,0.004784,0.004784,1.000000,0.000000,0.000000,0.000000,0.806433,0.806433,0.775060,0.095589
0,0.790182,-1.322970,-0.062535,0.013735,0.013735,0.013735,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.769946,-1.278130,-0.070759,0.009912,0.009912,0.009912,1.000000,0.000000,0.000000,0.000000,0.845648,0.759374,0.751531,0.095589
