splat_id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,opacity,sh0_r,sh0_g,sh0_b,shN_0_r,shN_0_g,shN_0_b,shN_1_r,shN_1_g,shN_1_b,shN_2_r,shN_2_g,shN_2_b,shN_3_r,shN_3_g,shN_3_b,shN_4_r,shN_4_g,shN_4_b,shN_5_r,shN_5_g,shN_5_b,shN_6_r,shN_6_g,shN_6_b,shN_7_r,shN_7_g,shN_7_b,shN_8_r,shN_8_g,shN_8_b,shN_9_r,shN_9_g,shN_9_b,shN_10_r,shN_10_g,shN_10_b,shN_11_r,shN_11_g,shN_11_b,shN_12_r,shN_12_g,shN_12_b,shN_13_r,shN_13_g,shN_13_b,shN_14_r,shN_14_g,shN_14_b
24734,-0.198666,-0.200506,-0.876991,0.0073549,0.0073549,0.0073549,1,0,0,0,0.5,-0.0625572,0.159868,-0.86885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24735,-0.168208,-0.207752,-0.858772,0.0101532,0.0101532,0.0101532,1,0,0,0,0.5,-1.59173,-1.55003,-1.63344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24736,-0.0515445,-0.194191,-0.853522,0.0108867,0.0108867,0.0108867,1,0,0,0,0.5,-1.66124,-1.59173,-1.60563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24737,0.0700835,-0.213883,-0.82083,0.00748441,0.00748441,0.00748441,1,0,0,0,0.5,-1.61954,-1.56393,-1.59173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24738,0.225038,-0.216309,-0.84572,0.0120989,0.0120989,0.0120989,1,0,0,0,0.5,-1.56393,-1.49442,-1.59173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24739,0.315505,-0.219908,-0.833657,0.0119328,0.0119328,0.0119328,1,0,0,0,0.5,-1.53613,-1.3415,-1.52223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24740,0.485834,-0.19782,-0.844899,0.00992756,0.00992756,0.00992756,1,0,0,0,0.5,-1.14688,-0.757637,-1.13298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24741,-0.953496,-0.138476,-0.751866,0.0197514,0.0197514,0.0197514,1,0,0,0,0.5,0.354491,0.451802,0.396196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742,-0.734442,-0.144911,-0.756781,0.00816641,0.00816641,0.00816641,1,0,0,0,0.5,0.618621,0.827145,0.827145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24743,-0.44109,-0.174818,-0.892463,0.0164884,0.0164884,0.0164884,1,0,0,0,0.5,-1.24419,-1.21639,-1.43882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24744,-0.288015,-0.19867,-0.917617,0.0133217,0.0133217,0.0133217,1,0,0,0,0.5,-1.57783,-1.55003,-1.59173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24745,-0.194477,-0.16935,-0.891353,0.00918475,0.00918475,0.00918475,1,0,0,0,0.5,-0.980063,-0.549113,-1.16078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24746,-1.02508,-1.76325,-0.0673576,0.01368,0.01368,0.01368,1,0,0,0,0.5,-0.229376,-0.368392,-0.354491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24747,-1.87657,-1.95107,0.571744,0.0104726,0.0104726,0.0104726,1,0,0,0,0.5,0.0069509,-0.215475,0.215475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24748,-0.863088,-1.75498,-0.0121451,0.0105193,0.0105193,0.0105193,1,0,0,0,0.5,0.354491,0.368392,0.298884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24749,-0.850762,-1.7328,-0.00200007,0.00928955,0.00928955,0.00928955,1,0,0,0,0.5,-0.201573,-0.4379,-0.326688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24750,-1.74092,-1.89862,0.616345,0.0199596,0.0199596,0.0199596,1,0,0,0,0.5,-0.479605,-0.52131,-0.410097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24751,-1.74092,-1.89862,0.616345,0.0199596,0.0199596,0.0199596,1,0,0,0,0.5,-0.479605,-0.52131,-0.410097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
